iter 208800:, hard_loss_metric=0.00000151, full_loss_metric=0.00011305, full_loss_num=0.00375000, mean_dist=5.76928473, lr=0.000100, hard or full='full'
iter 209000:, hard_loss_metric=0.00003427, full_loss_metric=0.00163187, full_loss_num=0.35044920, mean_dist=5.74818707, lr=0.000100, hard or full='full'
iter 209200:, hard_loss_metric=0.00030794, full_loss_metric=0.00799995, full_loss_num=1.18117189, mean_dist=5.69048214, lr=0.000100, hard or full='full'
iter 209400:, hard_loss_metric=0.00002124, full_loss_metric=0.00127220, full_loss_num=0.10990234, mean_dist=5.74788189, lr=0.000100, hard or full='full'
iter 209600:, hard_loss_metric=0.00008365, full_loss_metric=0.00338978, full_loss_num=0.33025390, mean_dist=5.72800303, lr=0.000100, hard or full='full'
iter 209800:, hard_loss_metric=0.00001043, full_loss_metric=0.00062074, full_loss_num=0.06580078, mean_dist=5.74422836, lr=0.000100, hard or full='full'
iter 210000:, hard_loss_metric=0.00000691, full_loss_metric=0.00045906, full_loss_num=0.02320313, mean_dist=5.73290539, lr=0.000100, hard or full='full'
iter 210200:, hard_loss_metric=0.00023676, full_loss_metric=0.00858472, full_loss_num=2.80861330, mean_dist=5.76903677, lr=0.000100, hard or full='full'
iter 210400:, hard_loss_metric=0.00059189, full_loss_metric=0.01714122, full_loss_num=3.41816401, mean_dist=5.70912218, lr=0.000100, hard or full='full'
iter 210600:, hard_loss_metric=0.00049719, full_loss_metric=0.00785944, full_loss_num=2.86564445, mean_dist=5.79730606, lr=0.000100, hard or full='full'
iter 210800:, hard_loss_metric=0.00007487, full_loss_metric=0.00384442, full_loss_num=0.40287110, mean_dist=5.78713989, lr=0.000100, hard or full='full'
iter 211000:, hard_loss_metric=0.00000894, full_loss_metric=0.00057333, full_loss_num=0.05439453, mean_dist=5.76252460, lr=0.000100, hard or full='full'
iter 211200:, hard_loss_metric=0.00000284, full_loss_metric=0.00020725, full_loss_num=0.01222656, mean_dist=5.77131033, lr=0.000100, hard or full='full'
iter 211400:, hard_loss_metric=0.00000451, full_loss_metric=0.00035275, full_loss_num=0.01144531, mean_dist=5.77923441, lr=0.000100, hard or full='full'
iter 211600:, hard_loss_metric=0.00000322, full_loss_metric=0.00022846, full_loss_num=0.01199219, mean_dist=5.78775597, lr=0.000100, hard or full='full'
iter 211800:, hard_loss_metric=0.00001463, full_loss_metric=0.00087996, full_loss_num=0.07738281, mean_dist=5.76396179, lr=0.000100, hard or full='full'
0:27:10.957966
iter 212000:, hard_loss_metric=0.00000346, full_loss_metric=0.00027358, full_loss_num=0.00798828, mean_dist=5.81347036, lr=0.000100, hard or full='full'
