Training START
iter 200:, hard_loss_metric=0.93739337, full_loss_metric=0.28924188, full_loss_num=154884.29687500, mean_dist=1.30125773, lr=0.000100, hard or full='full'
iter 400:, hard_loss_metric=0.86558563, full_loss_metric=0.27193365, full_loss_num=87951.89843750, mean_dist=1.44404697, lr=0.000100, hard or full='full'
iter 600:, hard_loss_metric=0.79908335, full_loss_metric=0.26139826, full_loss_num=69542.92187500, mean_dist=1.49739170, lr=0.000100, hard or full='full'
iter 800:, hard_loss_metric=0.75190854, full_loss_metric=0.25653514, full_loss_num=47067.52343750, mean_dist=1.67287683, lr=0.000100, hard or full='full'
iter 1000:, hard_loss_metric=0.68220121, full_loss_metric=0.24864031, full_loss_num=34883.35546875, mean_dist=1.81911528, lr=0.000100, hard or full='full'
iter 1200:, hard_loss_metric=0.64163345, full_loss_metric=0.24758783, full_loss_num=25140.49218750, mean_dist=1.96553528, lr=0.000100, hard or full='full'
iter 1400:, hard_loss_metric=0.57302582, full_loss_metric=0.24282216, full_loss_num=18906.07226562, mean_dist=2.09037662, lr=0.000100, hard or full='full'
iter 1600:, hard_loss_metric=0.51320589, full_loss_metric=0.23763311, full_loss_num=13865.62500000, mean_dist=2.24262261, lr=0.000100, hard or full='full'
iter 1800:, hard_loss_metric=0.47471169, full_loss_metric=0.23518272, full_loss_num=11382.60253906, mean_dist=2.33086038, lr=0.000100, hard or full='full'
iter 2000:, hard_loss_metric=0.43903047, full_loss_metric=0.23256107, full_loss_num=10003.63476562, mean_dist=2.41689825, lr=0.000100, hard or full='full'
iter 2200:, hard_loss_metric=0.40221390, full_loss_metric=0.22935085, full_loss_num=8097.49365234, mean_dist=2.50591207, lr=0.000100, hard or full='full'
iter 2400:, hard_loss_metric=0.37442878, full_loss_metric=0.22953168, full_loss_num=7162.94433594, mean_dist=2.61670065, lr=0.000100, hard or full='full'
iter 2600:, hard_loss_metric=0.35268533, full_loss_metric=0.23108177, full_loss_num=6186.86767578, mean_dist=2.64909029, lr=0.000100, hard or full='full'
iter 2800:, hard_loss_metric=0.33076066, full_loss_metric=0.22790499, full_loss_num=5485.42773438, mean_dist=2.69576955, lr=0.000100, hard or full='full'
0:27:24.478757
iter 3000:, hard_loss_metric=0.31947216, full_loss_metric=0.22631736, full_loss_num=5048.36621094, mean_dist=2.76517272, lr=0.000100, hard or full='full'
iter 3200:, hard_loss_metric=0.30800030, full_loss_metric=0.22460052, full_loss_num=4836.91699219, mean_dist=2.78451109, lr=0.000100, hard or full='full'
iter 3400:, hard_loss_metric=0.28356636, full_loss_metric=0.22602740, full_loss_num=4158.82763672, mean_dist=2.87377501, lr=0.000100, hard or full='full'
iter 3600:, hard_loss_metric=0.26779816, full_loss_metric=0.22187057, full_loss_num=3791.53320312, mean_dist=2.85537529, lr=0.000100, hard or full='full'
iter 3800:, hard_loss_metric=0.24481410, full_loss_metric=0.21758360, full_loss_num=3379.93188477, mean_dist=2.92879939, lr=0.000100, hard or full='full'
iter 4000:, hard_loss_metric=0.24385077, full_loss_metric=0.21631107, full_loss_num=3411.04614258, mean_dist=2.96328521, lr=0.000100, hard or full='full'
iter 4200:, hard_loss_metric=0.22513913, full_loss_metric=0.21705639, full_loss_num=2746.75292969, mean_dist=3.05939770, lr=0.000100, hard or full='full'
iter 4400:, hard_loss_metric=0.21956639, full_loss_metric=0.21727841, full_loss_num=2770.80590820, mean_dist=3.04046082, lr=0.000100, hard or full='full'
