Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 1:, hard_loss_metric=0.31420356, full_loss_metric=0.18958303, full_loss_num=225446.60937500, mean_dist=0.11891945, lr=0.000100, hard or full='full'
iter 200:, hard_loss_metric=0.48767588, full_loss_metric=0.18976197, full_loss_num=165657.07812500, mean_dist=0.46922144, lr=0.000100, hard or full='full'
iter 400:, hard_loss_metric=0.53803146, full_loss_metric=0.18507603, full_loss_num=122918.78125000, mean_dist=0.79998362, lr=0.000100, hard or full='full'
iter 600:, hard_loss_metric=0.55352420, full_loss_metric=0.18578987, full_loss_num=103364.64062500, mean_dist=0.98008394, lr=0.000100, hard or full='full'
iter 800:, hard_loss_metric=0.56624019, full_loss_metric=0.18800938, full_loss_num=92396.40625000, mean_dist=1.10594714, lr=0.000100, hard or full='full'
iter 1000:, hard_loss_metric=0.57005692, full_loss_metric=0.18895607, full_loss_num=80484.80468750, mean_dist=1.25641620, lr=0.000100, hard or full='full'
iter 1200:, hard_loss_metric=0.55781293, full_loss_metric=0.19012664, full_loss_num=72110.82031250, mean_dist=1.36229157, lr=0.000100, hard or full='full'
iter 1400:, hard_loss_metric=0.53442281, full_loss_metric=0.18798241, full_loss_num=66204.85937500, mean_dist=1.41946721, lr=0.000100, hard or full='full'
iter 1600:, hard_loss_metric=0.52394986, full_loss_metric=0.18651024, full_loss_num=64980.76171875, mean_dist=1.45205843, lr=0.000100, hard or full='full'
iter 1800:, hard_loss_metric=0.51720965, full_loss_metric=0.18691860, full_loss_num=61305.83984375, mean_dist=1.50887418, lr=0.000100, hard or full='full'
0:17:05.855260
iter 2000:, hard_loss_metric=0.51046288, full_loss_metric=0.18709661, full_loss_num=58095.89062500, mean_dist=1.57813931, lr=0.000100, hard or full='full'
iter 2200:, hard_loss_metric=0.50007319, full_loss_metric=0.18689884, full_loss_num=56714.80859375, mean_dist=1.61480784, lr=0.000100, hard or full='full'
iter 2400:, hard_loss_metric=0.49832824, full_loss_metric=0.18626629, full_loss_num=55212.60937500, mean_dist=1.65681899, lr=0.000100, hard or full='full'
iter 2600:, hard_loss_metric=0.48930299, full_loss_metric=0.18630463, full_loss_num=53141.16015625, mean_dist=1.70655119, lr=0.000100, hard or full='full'
iter 2800:, hard_loss_metric=0.48708686, full_loss_metric=0.18635142, full_loss_num=51774.56640625, mean_dist=1.73454809, lr=0.000100, hard or full='full'
iter 3000:, hard_loss_metric=0.48251876, full_loss_metric=0.18677264, full_loss_num=50888.53125000, mean_dist=1.77813566, lr=0.000100, hard or full='full'
iter 3200:, hard_loss_metric=0.47455138, full_loss_metric=0.18606049, full_loss_num=48948.35156250, mean_dist=1.81481707, lr=0.000100, hard or full='full'
iter 3400:, hard_loss_metric=0.47233668, full_loss_metric=0.18570885, full_loss_num=48631.65625000, mean_dist=1.83228290, lr=0.000100, hard or full='full'
iter 3600:, hard_loss_metric=0.47099823, full_loss_metric=0.18651323, full_loss_num=48030.55468750, mean_dist=1.88564456, lr=0.000100, hard or full='full'
iter 3800:, hard_loss_metric=0.46421722, full_loss_metric=0.18581630, full_loss_num=46902.97656250, mean_dist=1.90351808, lr=0.000100, hard or full='full'
0:17:05.938752
iter 4000:, hard_loss_metric=0.45065960, full_loss_metric=0.18529315, full_loss_num=45274.07031250, mean_dist=1.94558704, lr=0.000100, hard or full='full'
iter 4200:, hard_loss_metric=0.45825765, full_loss_metric=0.18716432, full_loss_num=45172.60156250, mean_dist=1.98353958, lr=0.000100, hard or full='full'
iter 4400:, hard_loss_metric=0.44910857, full_loss_metric=0.18612219, full_loss_num=44750.48828125, mean_dist=1.99997473, lr=0.000100, hard or full='full'
iter 4600:, hard_loss_metric=0.45048073, full_loss_metric=0.18665686, full_loss_num=44814.35937500, mean_dist=2.03281450, lr=0.000100, hard or full='full'
iter 4800:, hard_loss_metric=0.44744119, full_loss_metric=0.18576954, full_loss_num=42674.23046875, mean_dist=2.06251979, lr=0.000100, hard or full='full'
iter 5000:, hard_loss_metric=0.43851128, full_loss_metric=0.18629181, full_loss_num=41512.64843750, mean_dist=2.12922668, lr=0.000100, hard or full='full'
iter 5200:, hard_loss_metric=0.44269040, full_loss_metric=0.18659471, full_loss_num=42195.26171875, mean_dist=2.11476040, lr=0.000100, hard or full='full'
iter 5400:, hard_loss_metric=0.43929252, full_loss_metric=0.18759064, full_loss_num=42056.78125000, mean_dist=2.14641094, lr=0.000100, hard or full='full'
iter 5600:, hard_loss_metric=0.42804497, full_loss_metric=0.18577319, full_loss_num=39796.74609375, mean_dist=2.19610834, lr=0.000100, hard or full='full'
iter 5800:, hard_loss_metric=0.43045434, full_loss_metric=0.18559867, full_loss_num=40706.66015625, mean_dist=2.17297339, lr=0.000100, hard or full='full'
0:17:02.830583
iter 6000:, hard_loss_metric=0.43089789, full_loss_metric=0.18638338, full_loss_num=40299.47656250, mean_dist=2.19915962, lr=0.000100, hard or full='full'
iter 6200:, hard_loss_metric=0.41977060, full_loss_metric=0.18687305, full_loss_num=39568.81640625, mean_dist=2.25794578, lr=0.000100, hard or full='full'
iter 6400:, hard_loss_metric=0.42710426, full_loss_metric=0.18858086, full_loss_num=39179.28906250, mean_dist=2.27475262, lr=0.000100, hard or full='full'
iter 6600:, hard_loss_metric=0.41872540, full_loss_metric=0.18701214, full_loss_num=39071.67968750, mean_dist=2.30201173, lr=0.000100, hard or full='full'
iter 6800:, hard_loss_metric=0.41526198, full_loss_metric=0.18666282, full_loss_num=38303.40234375, mean_dist=2.32330132, lr=0.000100, hard or full='full'
iter 7000:, hard_loss_metric=0.41906273, full_loss_metric=0.18702969, full_loss_num=38073.53906250, mean_dist=2.32635093, lr=0.000100, hard or full='full'
iter 7200:, hard_loss_metric=0.41568711, full_loss_metric=0.18683809, full_loss_num=37950.09375000, mean_dist=2.34069681, lr=0.000100, hard or full='full'
iter 7400:, hard_loss_metric=0.40872496, full_loss_metric=0.18610871, full_loss_num=37598.82031250, mean_dist=2.35832858, lr=0.000100, hard or full='full'
iter 7600:, hard_loss_metric=0.39499485, full_loss_metric=0.18791264, full_loss_num=36247.46093750, mean_dist=2.44438052, lr=0.000100, hard or full='full'
iter 7800:, hard_loss_metric=0.39924431, full_loss_metric=0.18572897, full_loss_num=36570.14453125, mean_dist=2.41545558, lr=0.000100, hard or full='full'
0:17:05.891428
iter 8000:, hard_loss_metric=0.39569217, full_loss_metric=0.18462658, full_loss_num=36604.88671875, mean_dist=2.42316794, lr=0.000100, hard or full='full'
iter 8200:, hard_loss_metric=0.39303294, full_loss_metric=0.18681660, full_loss_num=35877.55859375, mean_dist=2.47949123, lr=0.000100, hard or full='full'
iter 8400:, hard_loss_metric=0.39302865, full_loss_metric=0.18659061, full_loss_num=35500.19140625, mean_dist=2.50771642, lr=0.000100, hard or full='full'
iter 8600:, hard_loss_metric=0.38860542, full_loss_metric=0.18535614, full_loss_num=35074.59765625, mean_dist=2.49130344, lr=0.000100, hard or full='full'
iter 8800:, hard_loss_metric=0.38929012, full_loss_metric=0.18606304, full_loss_num=35828.39062500, mean_dist=2.48781896, lr=0.000100, hard or full='full'
iter 9000:, hard_loss_metric=0.38295472, full_loss_metric=0.18610184, full_loss_num=35581.84375000, mean_dist=2.53314328, lr=0.000100, hard or full='full'
iter 9200:, hard_loss_metric=0.38728601, full_loss_metric=0.18707605, full_loss_num=34584.58984375, mean_dist=2.56652856, lr=0.000100, hard or full='full'
iter 9400:, hard_loss_metric=0.37676948, full_loss_metric=0.18603501, full_loss_num=34590.45312500, mean_dist=2.57566428, lr=0.000100, hard or full='full'
iter 9600:, hard_loss_metric=0.37987617, full_loss_metric=0.18740185, full_loss_num=34393.51953125, mean_dist=2.58247924, lr=0.000100, hard or full='full'
iter 9800:, hard_loss_metric=0.37637818, full_loss_metric=0.18640281, full_loss_num=34319.50000000, mean_dist=2.59598327, lr=0.000100, hard or full='full'
0:17:03.642462
iter 10000:, hard_loss_metric=0.37149543, full_loss_metric=0.18678054, full_loss_num=33563.93359375, mean_dist=2.63614011, lr=0.000100, hard or full='full'
iter 10200:, hard_loss_metric=0.36554176, full_loss_metric=0.18631718, full_loss_num=33193.87500000, mean_dist=2.66065645, lr=0.000100, hard or full='full'
iter 10400:, hard_loss_metric=0.36130974, full_loss_metric=0.18585636, full_loss_num=33258.51953125, mean_dist=2.68276238, lr=0.000100, hard or full='full'
iter 10600:, hard_loss_metric=0.36906829, full_loss_metric=0.18635333, full_loss_num=33661.35156250, mean_dist=2.64774847, lr=0.000100, hard or full='full'
iter 10800:, hard_loss_metric=0.37061948, full_loss_metric=0.18854271, full_loss_num=33844.48437500, mean_dist=2.67171693, lr=0.000100, hard or full='full'
iter 11000:, hard_loss_metric=0.36176413, full_loss_metric=0.18522857, full_loss_num=33409.85937500, mean_dist=2.68641901, lr=0.000100, hard or full='full'
iter 11200:, hard_loss_metric=0.36214608, full_loss_metric=0.18810204, full_loss_num=33602.33984375, mean_dist=2.76456094, lr=0.000100, hard or full='full'
iter 11400:, hard_loss_metric=0.36355615, full_loss_metric=0.18835035, full_loss_num=33120.75000000, mean_dist=2.70149589, lr=0.000100, hard or full='full'
iter 11600:, hard_loss_metric=0.36009711, full_loss_metric=0.18773168, full_loss_num=33088.86718750, mean_dist=2.75477719, lr=0.000100, hard or full='full'
iter 11800:, hard_loss_metric=0.35720268, full_loss_metric=0.18790253, full_loss_num=33008.26171875, mean_dist=2.77950573, lr=0.000100, hard or full='full'
0:17:02.827862
iter 12000:, hard_loss_metric=0.35149860, full_loss_metric=0.18736316, full_loss_num=32169.05078125, mean_dist=2.74934387, lr=0.000100, hard or full='full'
iter 12200:, hard_loss_metric=0.34947938, full_loss_metric=0.18731529, full_loss_num=32554.50781250, mean_dist=2.79668880, lr=0.000100, hard or full='full'
iter 12400:, hard_loss_metric=0.34486285, full_loss_metric=0.18937828, full_loss_num=32014.33984375, mean_dist=2.84015870, lr=0.000100, hard or full='full'
iter 12600:, hard_loss_metric=0.34513932, full_loss_metric=0.18606116, full_loss_num=31550.58593750, mean_dist=2.83339834, lr=0.000100, hard or full='full'
iter 12800:, hard_loss_metric=0.34766418, full_loss_metric=0.18805243, full_loss_num=31648.24414062, mean_dist=2.84916925, lr=0.000100, hard or full='full'
iter 13000:, hard_loss_metric=0.33681950, full_loss_metric=0.18679489, full_loss_num=32040.54492188, mean_dist=2.83846045, lr=0.000100, hard or full='full'
iter 13200:, hard_loss_metric=0.34132645, full_loss_metric=0.18681861, full_loss_num=31973.71289062, mean_dist=2.89670968, lr=0.000100, hard or full='full'
iter 13400:, hard_loss_metric=0.34606361, full_loss_metric=0.19121982, full_loss_num=31343.09765625, mean_dist=2.86208487, lr=0.000100, hard or full='full'
iter 13600:, hard_loss_metric=0.33978581, full_loss_metric=0.19015481, full_loss_num=31379.15429688, mean_dist=2.95079327, lr=0.000100, hard or full='full'
iter 13800:, hard_loss_metric=0.33553284, full_loss_metric=0.18794331, full_loss_num=31264.61914062, mean_dist=3.00626850, lr=0.000100, hard or full='full'
0:17:07.117179
iter 14000:, hard_loss_metric=0.32983902, full_loss_metric=0.18840006, full_loss_num=31573.17968750, mean_dist=2.98529720, lr=0.000100, hard or full='full'
iter 14200:, hard_loss_metric=0.33163956, full_loss_metric=0.18858151, full_loss_num=31046.33593750, mean_dist=3.01553249, lr=0.000100, hard or full='full'
iter 14400:, hard_loss_metric=0.32445189, full_loss_metric=0.18883285, full_loss_num=30703.49414062, mean_dist=3.04796457, lr=0.000100, hard or full='full'
iter 14600:, hard_loss_metric=0.32074383, full_loss_metric=0.18630505, full_loss_num=30433.39062500, mean_dist=3.03924990, lr=0.000100, hard or full='full'
iter 14800:, hard_loss_metric=0.32468507, full_loss_metric=0.18929188, full_loss_num=30879.10742188, mean_dist=3.05539489, lr=0.000100, hard or full='full'
iter 15000:, hard_loss_metric=0.32181886, full_loss_metric=0.18819195, full_loss_num=31112.13085938, mean_dist=3.06707454, lr=0.000100, hard or full='full'
iter 15200:, hard_loss_metric=0.32241163, full_loss_metric=0.18994333, full_loss_num=30271.83203125, mean_dist=3.13813710, lr=0.000100, hard or full='full'
iter 15400:, hard_loss_metric=0.31618729, full_loss_metric=0.18935242, full_loss_num=30750.41992188, mean_dist=3.13044810, lr=0.000100, hard or full='full'
iter 15600:, hard_loss_metric=0.31220099, full_loss_metric=0.18809387, full_loss_num=30330.48437500, mean_dist=3.13764524, lr=0.000100, hard or full='full'
iter 15800:, hard_loss_metric=0.31343377, full_loss_metric=0.18713862, full_loss_num=30800.76562500, mean_dist=3.16570067, lr=0.000100, hard or full='full'
0:17:05.646042
iter 16000:, hard_loss_metric=0.30878499, full_loss_metric=0.18787573, full_loss_num=30862.49414062, mean_dist=3.18340826, lr=0.000100, hard or full='full'
iter 16200:, hard_loss_metric=0.30933991, full_loss_metric=0.18717253, full_loss_num=30587.47265625, mean_dist=3.20565510, lr=0.000100, hard or full='full'
iter 16400:, hard_loss_metric=0.30619338, full_loss_metric=0.18923663, full_loss_num=30272.00195312, mean_dist=3.25538445, lr=0.000100, hard or full='full'
iter 16600:, hard_loss_metric=0.30407378, full_loss_metric=0.18685995, full_loss_num=30157.20312500, mean_dist=3.26644015, lr=0.000100, hard or full='full'
iter 16800:, hard_loss_metric=0.30673456, full_loss_metric=0.19071724, full_loss_num=30515.34960938, mean_dist=3.30361629, lr=0.000100, hard or full='full'
iter 17000:, hard_loss_metric=0.30216697, full_loss_metric=0.18845305, full_loss_num=30088.25585938, mean_dist=3.32615900, lr=0.000100, hard or full='full'
iter 17200:, hard_loss_metric=0.30680907, full_loss_metric=0.19166647, full_loss_num=30783.38476562, mean_dist=3.29276729, lr=0.000100, hard or full='full'
iter 17400:, hard_loss_metric=0.30475831, full_loss_metric=0.18929061, full_loss_num=30130.39453125, mean_dist=3.35078239, lr=0.000100, hard or full='full'
iter 17600:, hard_loss_metric=0.30002195, full_loss_metric=0.19042167, full_loss_num=29787.45507812, mean_dist=3.36203122, lr=0.000100, hard or full='full'
iter 17800:, hard_loss_metric=0.30080035, full_loss_metric=0.19005634, full_loss_num=30774.07226562, mean_dist=3.37414241, lr=0.000100, hard or full='full'
0:17:06.051083
iter 18000:, hard_loss_metric=0.29750046, full_loss_metric=0.18610315, full_loss_num=30322.23242188, mean_dist=3.37743402, lr=0.000100, hard or full='full'
iter 18200:, hard_loss_metric=0.29860717, full_loss_metric=0.19039227, full_loss_num=30438.81054688, mean_dist=3.37909722, lr=0.000100, hard or full='full'
